<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ЛУКОЙЛ;D;30/05/14;000000;1968;1351881
ЛУКОЙЛ;D;02/06/14;000000;2037;1273242
ЛУКОЙЛ;D;03/06/14;000000;2050;1119187
ЛУКОЙЛ;D;04/06/14;000000;2047;870770
ЛУКОЙЛ;D;05/06/14;000000;2035;844652
ЛУКОЙЛ;D;06/06/14;000000;2030.6;1127201
ЛУКОЙЛ;D;09/06/14;000000;2025;716361
ЛУКОЙЛ;D;10/06/14;000000;2061.4;968280
ЛУКОЙЛ;D;11/06/14;000000;2097.9;1128673
ЛУКОЙЛ;D;16/06/14;000000;2149;3720757
ЛУКОЙЛ;D;17/06/14;000000;2130;1494451
ЛУКОЙЛ;D;18/06/14;000000;2126.9;1129635
ЛУКОЙЛ;D;19/06/14;000000;2112.1;1140105
ЛУКОЙЛ;D;20/06/14;000000;2100;1067446
ЛУКОЙЛ;D;23/06/14;000000;2082.6;1145096
ЛУКОЙЛ;D;24/06/14;000000;2099.1;1140093
ЛУКОЙЛ;D;25/06/14;000000;2037.4;1263150
ЛУКОЙЛ;D;26/06/14;000000;2028.6;1666665
ЛУКОЙЛ;D;27/06/14;000000;2021;760846
ЛУКОЙЛ;D;30/06/14;000000;2036;720849
ЛУКОЙЛ;D;01/07/14;000000;2063.9;986895
ЛУКОЙЛ;D;02/07/14;000000;2110;1034589
ЛУКОЙЛ;D;03/07/14;000000;2089.9;644019
ЛУКОЙЛ;D;04/07/14;000000;2062.9;809144
ЛУКОЙЛ;D;07/07/14;000000;2113;1080900
ЛУКОЙЛ;D;08/07/14;000000;2122.9;1080527
ЛУКОЙЛ;D;09/07/14;000000;2104.9;927449
ЛУКОЙЛ;D;10/07/14;000000;2093.2;1196359
ЛУКОЙЛ;D;11/07/14;000000;2105;1292720
ЛУКОЙЛ;D;14/07/14;000000;2016.5;1447650
ЛУКОЙЛ;D;15/07/14;000000;2018;1299149
ЛУКОЙЛ;D;16/07/14;000000;2050.8;1341344
ЛУКОЙЛ;D;17/07/14;000000;2004.8;2070446
ЛУКОЙЛ;D;18/07/14;000000;1990;1676898
ЛУКОЙЛ;D;21/07/14;000000;1940;1234420
ЛУКОЙЛ;D;22/07/14;000000;1970;1393861
ЛУКОЙЛ;D;23/07/14;000000;1980.5;884278
ЛУКОЙЛ;D;24/07/14;000000;2005;1001003
ЛУКОЙЛ;D;25/07/14;000000;1976.7;1056643
ЛУКОЙЛ;D;28/07/14;000000;1957;843184
ЛУКОЙЛ;D;29/07/14;000000;1975;844187
ЛУКОЙЛ;D;30/07/14;000000;2005.3;1591992
ЛУКОЙЛ;D;31/07/14;000000;2000.9;1053071
ЛУКОЙЛ;D;01/08/14;000000;1995.3;741881
ЛУКОЙЛ;D;04/08/14;000000;1984.9;735068
ЛУКОЙЛ;D;05/08/14;000000;1957;708207
ЛУКОЙЛ;D;06/08/14;000000;1929.8;1208890
ЛУКОЙЛ;D;07/08/14;000000;1932.7;971939
ЛУКОЙЛ;D;08/08/14;000000;1928.3;1281580
ЛУКОЙЛ;D;11/08/14;000000;1947.1;1002131
ЛУКОЙЛ;D;12/08/14;000000;1953.7;853532
ЛУКОЙЛ;D;13/08/14;000000;1974.9;1085504
ЛУКОЙЛ;D;14/08/14;000000;1991;1014262
ЛУКОЙЛ;D;15/08/14;000000;2011.1;1019061
ЛУКОЙЛ;D;18/08/14;000000;2043;352191
ЛУКОЙЛ;D;19/08/14;000000;2063.9;792281
ЛУКОЙЛ;D;20/08/14;000000;2085;969786
ЛУКОЙЛ;D;21/08/14;000000;2100.6;792093
ЛУКОЙЛ;D;22/08/14;000000;2085;689251
ЛУКОЙЛ;D;25/08/14;000000;2088;292630
ЛУКОЙЛ;D;26/08/14;000000;2068;653404
ЛУКОЙЛ;D;27/08/14;000000;2096.5;586592
ЛУКОЙЛ;D;28/08/14;000000;2083;1194636
ЛУКОЙЛ;D;29/08/14;000000;2055;1009544
ЛУКОЙЛ;D;01/09/14;000000;2034.9;1071060
ЛУКОЙЛ;D;02/09/14;000000;2042.1;670447
ЛУКОЙЛ;D;03/09/14;000000;2115;1962280
ЛУКОЙЛ;D;04/09/14;000000;2131.5;993246
ЛУКОЙЛ;D;05/09/14;000000;2163;955277
ЛУКОЙЛ;D;08/09/14;000000;2153.3;1072894
ЛУКОЙЛ;D;09/09/14;000000;2163.6;558755
ЛУКОЙЛ;D;10/09/14;000000;2163;602117
ЛУКОЙЛ;D;11/09/14;000000;2149.2;890331
ЛУКОЙЛ;D;12/09/14;000000;2163.1;1150537
ЛУКОЙЛ;D;15/09/14;000000;2174.9;1790034
ЛУКОЙЛ;D;16/09/14;000000;2185;1004336
ЛУКОЙЛ;D;17/09/14;000000;2141.5;1360520
ЛУКОЙЛ;D;18/09/14;000000;2130;778862
ЛУКОЙЛ;D;19/09/14;000000;2071;1895677
ЛУКОЙЛ;D;22/09/14;000000;2050;833702
ЛУКОЙЛ;D;23/09/14;000000;2049.6;1516474
ЛУКОЙЛ;D;24/09/14;000000;2059.1;1011822
ЛУКОЙЛ;D;25/09/14;000000;2043.5;1242759
ЛУКОЙЛ;D;26/09/14;000000;2064.9;991570
ЛУКОЙЛ;D;29/09/14;000000;2007.9;1207236
ЛУКОЙЛ;D;30/09/14;000000;2015;1218547
ЛУКОЙЛ;D;01/10/14;000000;1993.5;1070123
ЛУКОЙЛ;D;02/10/14;000000;1964;1444474
ЛУКОЙЛ;D;03/10/14;000000;1990;1008988
ЛУКОЙЛ;D;06/10/14;000000;2042;852036
ЛУКОЙЛ;D;07/10/14;000000;2007.6;804431
ЛУКОЙЛ;D;08/10/14;000000;1976;1342358
ЛУКОЙЛ;D;09/10/14;000000;1980;1267299
ЛУКОЙЛ;D;10/10/14;000000;1925.1;1502941
ЛУКОЙЛ;D;13/10/14;000000;1978;1290556
ЛУКОЙЛ;D;14/10/14;000000;2005.4;1598011
ЛУКОЙЛ;D;15/10/14;000000;1980;1347161
ЛУКОЙЛ;D;16/10/14;000000;1955;1504249
ЛУКОЙЛ;D;17/10/14;000000;1986.6;1226169
ЛУКОЙЛ;D;20/10/14;000000;1978;1139845
ЛУКОЙЛ;D;21/10/14;000000;1990;1275039
ЛУКОЙЛ;D;22/10/14;000000;1964.9;1706310
ЛУКОЙЛ;D;23/10/14;000000;1932.3;1602278
ЛУКОЙЛ;D;24/10/14;000000;1948.5;932438
ЛУКОЙЛ;D;27/10/14;000000;1991.9;1385211
ЛУКОЙЛ;D;28/10/14;000000;2014;1200225
ЛУКОЙЛ;D;29/10/14;000000;2042.5;1669036
